starname,mass,mass_mc_err,mass_observed,mass_resid,age_log10yr,age_gyr,age_gyr_mc_err,age_observed,age_resid,feh,feh_mc_err,feh_observed,feh_resid,AV,AV_mc_err,distance_pc,distance_pc_mc_err,chi2,dof,red_chi2,success,message,bands_used,used_teff_initial,used_feh_initial,used_age_initial,BP_mag_obs,BP_mag_model,BP_mag_resid,G_mag_obs,G_mag_model,G_mag_resid,RP_mag_obs,RP_mag_model,RP_mag_resid,J_mag_obs,J_mag_model,J_mag_resid,H_mag_obs,H_mag_model,H_mag_resid,K_mag_obs,K_mag_model,K_mag_resid
TOI-6016,1.426988826542702,0.03336797218458039,1.31,0.11698882654270193,8.817123846800671,0.6563324044846585,0.03011483134152836,0.3,0.35633240448465847,0.28203617614835924,0.09257640437970378,0.28,0.0020361761483592145,0.9794260883341446,0.0804331101725894,362.3881791091856,13.076347194722132,0.39460333771744915,3,0.1315344459058164,True,`ftol` termination condition is satisfied.,"['BP_mag', 'G_mag', 'RP_mag', 'J_mag', 'H_mag', 'K_mag']",True,True,True,12.33110636314,12.332617055282203,0.0015106921422027852,11.909992875,11.909667819498225,-0.0003250555017757506,11.32091118571,11.321633241463513,0.0007220557535116967,10.629,10.618344938420707,-0.010655061579292635,10.308,10.313183880928271,0.005183880928271378,10.224,10.223804326366436,-0.0001956736335646525
Qatar-4,0.9045699832508532,0.02491970514213077,0.896,0.00856998325085323,8.23630571314843,0.17230810775676236,0.1178975943215534,0.17,0.002308107756762351,0.06908163927841374,0.09931363993971526,0.103,-0.03391836072158626,0.2442003291356712,0.12219372514416947,333.7766602993999,10.157885476453727,4.0897197021916405,3,1.363239900730547,True,`ftol` termination condition is satisfied.,"['BP_mag', 'G_mag', 'RP_mag', 'J_mag', 'H_mag', 'K_mag']",True,True,True,13.86767723439,13.85690959542862,-0.010767638961379333,13.40040417457,13.399014996413593,-0.0013891781564066008,12.77131261663,12.783410032295816,0.012097415665815348,12.03,12.049107542717199,0.019107542717199166,11.631,11.598396760092179,-0.032603239907821546,11.519,11.525907639090132,0.006907639090131923
Qatar-5,1.1695232203829358,0.02740177793180596,1.128,0.04152322038293588,8.949515604045851,0.890257424067336,0.09087703102353435,0.53,0.36025742406733596,0.38535203014497316,0.09461816051296959,0.377,0.008352030144973155,0.274113021414899,0.08034851424895972,377.0131026067546,13.757798176891054,7.6201584237552895,3,2.5400528079184297,True,`ftol` termination condition is satisfied.,"['BP_mag', 'G_mag', 'RP_mag', 'J_mag', 'H_mag', 'K_mag']",True,True,True,12.8873481439,12.892675167720725,0.005327023820724364,12.51198737275,12.511800473249677,-0.00018689950032246827,11.97502587868,11.967705231652142,-0.00732064702785884,11.348,11.371805256604741,0.02380525660474042,11.089,11.042704844874894,-0.04629515512510629,10.956,10.980238185241818,0.024238185241818755
WASP-93,1.5515983999565366,0.05014259909645282,1.334,0.21759839995653651,8.521113868749215,0.3319814891940502,0.02984130085776695,0.7,-0.3680185108059498,0.14835512172624887,0.08719061622259942,0.07,0.07835512172624887,0.40884751294743726,0.13432986631924948,365.824962071214,13.317719498258334,7.046526674912236,3,2.3488422249707455,True,`ftol` termination condition is satisfied.,"['BP_mag', 'G_mag', 'RP_mag', 'J_mag', 'H_mag', 'K_mag']",True,True,True,11.2095350487,11.217396062447635,0.007861013747636036,10.984385221,10.980449125237659,-0.0039360957623415516,10.5915123191,10.594477626905162,0.002965307805162354,10.233,10.186234373332802,-0.046765626667198745,9.997,10.003595529530239,0.006595529530239119,9.942,9.96019014580596,0.0181901458059599
TOI-2046,1.2582717897577975,0.02740135011517259,1.13,0.12827178975779763,7.527042425286531,0.03365444440669604,0.014959221390531612,0.45,-0.416345555593304,-0.04627460091042311,0.0987692125346954,-0.06,0.013725399089576887,0.47238108139181845,0.10057138484226923,287.16202194309807,8.157749285901458,0.49327146077310635,3,0.1644238202577021,True,`ftol` termination condition is satisfied.,"['BP_mag', 'G_mag', 'RP_mag', 'J_mag', 'H_mag', 'K_mag']",True,True,True,11.71832973646,11.715223036811608,-0.0031066996483914977,11.4081268017,11.409106207224987,0.000979405524986987,10.9331821994,10.936282581651724,0.0031003822517252644,10.415,10.406552572015825,-0.008447427984174638,10.125,10.141593078965792,0.01659307896579243,10.094,10.090925899347043,-0.003074100652955991
TOI-2152,1.573464026804233,0.03177561773385342,1.516,0.057464026804233015,8.870935695279723,0.7429091293594245,0.027895730791890404,0.83,-0.08709087064057541,0.3120970129991326,0.09462055427622976,0.282,0.030097012999132644,1.0648799364670227,0.09793827822358696,320.3266082582992,10.278155418714467,1.9475170750297714,3,0.6491723583432571,True,`ftol` termination condition is satisfied.,"['BP_mag', 'G_mag', 'RP_mag', 'J_mag', 'H_mag', 'K_mag']",True,True,True,11.6610116794,11.652658038961167,-0.008353640438832244,11.2434520338,11.237044716339247,-0.0064073174607539585,10.635722565,10.658346505056777,0.022623940056776703,9.973,9.964227708937988,-0.008772291062012272,9.669,9.679608553725696,0.010608553725695913,9.597,9.586754314099522,-0.010245685900477142
TOI-262,0.9665209637543626,0.009951974889167502,0.913,0.05352096375436255,8.936842278632414,0.8646538481175905,0.1563898221000439,0.8,0.06465384811759045,0.27132909721492393,0.10110461124952148,0.26,0.011329097214923922,0.05350483510030191,0.0891618043149075,44.16282785566855,0.19492710711161382,6.2736935620865975,3,2.091231187362199,True,`ftol` termination condition is satisfied.,"['BP_mag', 'G_mag', 'RP_mag', 'J_mag', 'H_mag', 'K_mag']",True,True,True,9.109068518,9.103486665101272,-0.005581852898728812,8.677936184,8.676502748933842,-0.0014334350661577844,8.081017597,8.091544407249936,0.010526810249935181,7.387,7.427458709110469,0.040458709110469115,7.051,7.007566203707581,-0.04343379629241895,6.967,6.942622964007277,-0.024377035992722895
TOI-1224,0.4156140665300196,0.0035874468306981997,0.4,0.015614066530019566,9.587477702161198,3.8679219517872614,1.121070770009338,0.21,3.6579219517872614,0.25606764983111296,0.03753539053782446,nan,nan,0.024710461766942048,0.09874445469836178,37.27312937106283,0.1390057230998799,8.05957692099047,2,4.029788460495235,True,`ftol` termination condition is satisfied.,"['BP_mag', 'G_mag', 'RP_mag', 'J_mag', 'H_mag', 'K_mag']",True,False,True,14.1764028464,14.113282940010958,-0.06311990638904241,12.7679328018,12.769935915415083,0.002003113615081986,11.6009054078,11.673849876859098,0.0729444690590988,10.018,10.021992592756362,0.003992592756361546,9.405,9.357222361455449,-0.04777763854455053,9.134,9.15587840498728,0.02187840498728022
GPX-1,1.610984318995342,0.09086900673975418,1.68,-0.06901568100465805,8.683171443904595,0.48213809090979465,0.03152059336878576,0.27,0.21213809090979463,0.327093237510566,0.1014799179105445,0.35,-0.022906762489433963,0.31491356712591684,0.16292320337479974,694.3584699432462,51.20152260617307,3.973315963736122,3,1.3244386545787072,True,`ftol` termination condition is satisfied.,"['BP_mag', 'G_mag', 'RP_mag', 'J_mag', 'H_mag', 'K_mag']",True,True,True,12.4614650604,12.460461910695724,-0.001003149704276396,12.21275934568,12.211390397311987,-0.0013689483680128234,11.8152232159,11.811103561988157,-0.004119653911843102,11.357,11.401927673024316,0.04492767302431666,11.221,11.209104815828653,-0.011895184171347495,11.181,11.166047918935297,-0.014952081064702583
HD-18599,0.8673027552577025,0.008628990367459783,0.863,0.004302755257702517,8.124909313706263,0.13332430047456956,0.08462812289998745,0.4,-0.26667569952543047,-0.05353290151681722,0.09205621250880484,0.0,-0.05353290151681722,0.17725376047480723,0.10455415473974405,38.645217081994396,0.14965337866190084,11.84159532131327,3,3.9471984404377563,True,`ftol` termination condition is satisfied.,"['BP_mag', 'G_mag', 'RP_mag', 'J_mag', 'H_mag', 'K_mag']",True,True,True,9.190198587,9.180608714883997,-0.009589872116002596,8.741665106,8.744294465690805,0.0026293596908057992,8.1271342702,8.14685059193579,0.019716321735790743,7.428,7.438300580552357,0.010300580552357275,7.029,6.9918766608641665,-0.03712333913583343,6.883,6.926497010261632,0.043497010261631885
