pl_name,hostname,gaia_dr3_id,gaia_dr2_id,tic_id,ra,dec,FUVmag,e_FUVmag,NUVmag,e_NUVmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Bmag,e_Bmag,Vmag,e_Vmag,gpmag,e_gpmag,rpmag,e_rpmag,ipmag,e_ipmag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,ymag,e_ymag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,tic_Bmag,tic_e_Bmag,tic_Vmag,tic_e_Vmag,gaiamag,e_gaiamag,gaia_Gmag,gaia_BPmag,gaia_RPmag,Tmag,e_Tmag
TOI-178 c,TOI-178,2318295979126499200,2318295979126499200,251848941,7.3020115,-30.4541159,,,20.3358,0.0758,,,,,,,,,,,12.753999710083000,0.029999999329447700,11.607999801635700,0.035999998450279200,12.204999923706100,0.0820000022649765,11.118000030517600,0.02800000086426740,10.718000411987300,0.11100000143051100,,,,,10.8641,0.0098,10.3246,0.001,,,9.372,0.021,8.761,0.023,8.656,0.021,8.573,0.022,8.64,0.02,8.563,0.025,8.477,0.259,13.056,0.369,11.955,0.035,11.1523,0.00089,11.157549858093300,11.839834213256800,10.360156059265100,10.42,0.0061
TOI-178 b,TOI-178,2318295979126499200,2318295979126499200,251848941,7.3020115,-30.4541159,,,20.3358,0.0758,,,,,,,,,,,12.753999710083000,0.029999999329447700,11.607999801635700,0.035999998450279200,12.204999923706100,0.0820000022649765,11.118000030517600,0.02800000086426740,10.718000411987300,0.11100000143051100,,,,,10.8641,0.0098,10.3246,0.001,,,9.372,0.021,8.761,0.023,8.656,0.021,8.573,0.022,8.64,0.02,8.563,0.025,8.477,0.259,13.056,0.369,11.955,0.035,11.1523,0.00089,11.157549858093300,11.839834213256800,10.360156059265100,10.42,0.0061
TOI-178 g,TOI-178,2318295979126499200,2318295979126499200,251848941,7.3020115,-30.4541159,,,20.3358,0.0758,,,,,,,,,,,12.753999710083000,0.029999999329447700,11.607999801635700,0.035999998450279200,12.204999923706100,0.0820000022649765,11.118000030517600,0.02800000086426740,10.718000411987300,0.11100000143051100,,,,,10.8641,0.0098,10.3246,0.001,,,9.372,0.021,8.761,0.023,8.656,0.021,8.573,0.022,8.64,0.02,8.563,0.025,8.477,0.259,13.056,0.369,11.955,0.035,11.1523,0.00089,11.157549858093300,11.839834213256800,10.360156059265100,10.42,0.0061
TOI-178 e,TOI-178,2318295979126499200,2318295979126499200,251848941,7.3020115,-30.4541159,,,20.3358,0.0758,,,,,,,,,,,12.753999710083000,0.029999999329447700,11.607999801635700,0.035999998450279200,12.204999923706100,0.0820000022649765,11.118000030517600,0.02800000086426740,10.718000411987300,0.11100000143051100,,,,,10.8641,0.0098,10.3246,0.001,,,9.372,0.021,8.761,0.023,8.656,0.021,8.573,0.022,8.64,0.02,8.563,0.025,8.477,0.259,13.056,0.369,11.955,0.035,11.1523,0.00089,11.157549858093300,11.839834213256800,10.360156059265100,10.42,0.0061
TOI-178 d,TOI-178,2318295979126499200,2318295979126499200,251848941,7.3020115,-30.4541159,,,20.3358,0.0758,,,,,,,,,,,12.753999710083000,0.029999999329447700,11.607999801635700,0.035999998450279200,12.204999923706100,0.0820000022649765,11.118000030517600,0.02800000086426740,10.718000411987300,0.11100000143051100,,,,,10.8641,0.0098,10.3246,0.001,,,9.372,0.021,8.761,0.023,8.656,0.021,8.573,0.022,8.64,0.02,8.563,0.025,8.477,0.259,13.056,0.369,11.955,0.035,11.1523,0.00089,11.157549858093300,11.839834213256800,10.360156059265100,10.42,0.0061
HD 2685 b,HD 2685,4684205720883329920,4684205720883329920,267263253,7.3289156,-76.304032,,,,,,,,,,,,,,,10.081999778747600,0.08699999749660490,9.656999588012700,0.0,10.331000328064000,0.5320000052452090,9.821999549865720,0.3009999990463260,9.484000205993650,0.0,,,,,,,,,,,8.825,0.026,8.651,0.051,8.595,0.019,8.552,0.023,8.575,0.021,8.536,0.023,8.261,0.192,10.047,0.047,9.595,0.003,9.52025,0.000318,9.526559829711910,9.73245906829834,9.171113967895510,9.2205,0.006
WASP-190 b,WASP-190,4994237247949280000,4994237247949280000,116156517,7.7095292,-40.5734613,21.9494,0.4014,15.7411,0.0125,,,,,,,,,,,12.154999732971200,0.00800000037997961,11.675000190734900,0.10000000149011600,11.892000198364300,0.014000000432133700,11.670999526977500,0.07800000160932540,11.51200008392330,0.10300000011920900,,,,,,,,,,,10.859,0.023,10.694,0.023,10.65,0.024,10.593,0.023,10.62,0.019,10.615,0.084,8.269,,12.028,0.198,11.645,0.014,11.6333,0.000489,11.629207611084000,11.853755950927700,11.255184173584000,11.3151,0.006
TOI-6029 b,TOI-6029,430269136520563200,430269136520563200,419523962,8.3862555,61.8607659,,,,,,,,,,,,,,,13.41100025177000,0.024000000208616300,12.527999877929700,0.012000000104308100,12.932999610900900,0.028999999165535000,12.232999801635700,0.017999999225139600,11.902999877929700,0.028999999165535000,12.84,,12.302,,12.027,,11.854,,11.781,,10.788,0.026,10.479,0.032,10.369,0.023,10.294,0.023,10.312,0.02,10.478,0.059,9.739,,13.236,0.525,12.858,0.038,12.2681,0.000161,12.259825706481900,12.757144927978500,11.596293449401900,11.6593,0.006
HD 3167 b,HD 3167,2554032474712538880,2554032474712538880,318707987,8.7401487,4.3807215,22.1149,0.3553,15.6405,0.0111,,,,,,,,,,,10.166000366210900,0.0,,,10.204000473022500,0.10599999874830200,,,,,9.2958,0.0152,8.497,0.0658,8.7515,0.0,8.7341,0.0343,8.7812,0.0223,7.548,0.032,7.203,0.038,7.066,0.02,6.942,0.053,7.09,0.02,7.054,0.018,7.065,0.144,9.767,0.031,8.97,0.03,8.76221,0.000265,8.772421836853030,9.178295135498050,8.19643497467041,8.2491,0.006
HD 3167 c,HD 3167,2554032474712538880,2554032474712538880,318707987,8.7401487,4.3807215,22.1149,0.3553,15.6405,0.0111,,,,,,,,,,,10.166000366210900,0.0,,,10.204000473022500,0.10599999874830200,,,,,9.2958,0.0152,8.497,0.0658,8.7515,0.0,8.7341,0.0343,8.7812,0.0223,7.548,0.032,7.203,0.038,7.066,0.02,6.942,0.053,7.09,0.02,7.054,0.018,7.065,0.144,9.767,0.031,8.97,0.03,8.76221,0.000265,8.772421836853030,9.178295135498050,8.19643497467041,8.2491,0.006
