hostname,distance_pc,mass_model,mass_err,mass_err_minus,mass_err_plus,age_yr_model,age_yr_err,age_yr_err_minus,age_yr_err_plus,feh_model,feh_err,feh_err_minus,feh_err_plus,av_model,chi2_total,st_mass_measured,st_age_gyr_measured,st_met_measured,G_mag_abs_measured,G_mag_abs_model,BP_mag_abs_measured,BP_mag_abs_model,RP_mag_abs_measured,RP_mag_abs_model,J_mag_abs_measured,J_mag_abs_model,H_mag_abs_measured,H_mag_abs_model,K_mag_abs_measured,K_mag_abs_model,W1_mag_abs_measured,W1_mag_abs_model,W2_mag_abs_measured,W2_mag_abs_model,W3_mag_abs_measured,W3_mag_abs_model,W4_mag_abs_measured,W4_mag_abs_model,g_mag_abs_measured,g_mag_abs_model,r_mag_abs_measured,r_mag_abs_model,i_mag_abs_measured,i_mag_abs_model,z_mag_abs_measured,z_mag_abs_model
HIP 67522,124.376594543457,1.1872215962159278,0.0756926573110722,0.0661555242666185,0.0852297903555259,16854218.709336486,1812779.516566027,1889703.5670938045,1735855.4660382494,0.0101671299080117,0.094984271440673,0.0938662681664369,0.096102274714909,0.2051751059480079,0.2168958656662598,1.22,0.017,0.0,4.141672674211958,4.156673686537064,4.485899511370168,4.526165100060353,3.646190229448778,3.635067531220074,3.1133066921562973,3.0484949128182226,2.8133066921562984,2.695087065777193,2.6903066921562973,2.643241165048676,2.634306692156298,2.6298139767747624,2.648306692156297,2.6530159580175923,2.603306692156297,2.6190901208841195,2.647306692156298,2.6190631728960745,,4.669349731975205,,4.139213673201137,,3.989005715620455,,3.937677881565304
AU Mic,9.70998287200928,0.5797042509920873,0.0609761680173978,0.0597253675255546,0.062226968509241,19873912.88422601,2466817.9073350355,2461823.0295584016,2471812.785111669,0.2023924087083123,0.0940884731062812,0.0952000746041519,0.0929768716084104,0.0,0.9343880129365884,0.51,0.0201,0.23,7.907347259850221,8.033305442892765,8.973863659233771,9.168595631939118,6.862539348931032,7.011199638626641,5.499907680840211,5.520905550969652,4.894907680840212,4.77455338748477,4.592907680840211,4.599612732810746,,4.547479361916185,,4.500247054032281,,4.390161817932178,,4.3206977722700834,,9.6969441812239,,8.398301829029954,,7.4505163312054865,,6.895292279974068
V1298 Tau,107.523368835449,1.1245149504665528,0.0525581343934106,0.0517091976687693,0.0534070711180518,21092261.860698413,4438737.251550403,4474781.496121665,4402693.006979141,0.1071538862767027,0.0961150018746413,0.0963568785061525,0.0958731252431301,3.0,117.90744039286577,1.101,0.023,0.1,4.923041601396199,6.729984637975655,5.398738165116899,7.822866332371609,4.28046633741917,5.644955038847536,3.5294856855636985,4.14756282515186,3.0334856855637,3.465314263457127,2.9364856855636985,3.2336205212687137,2.8864856855637,3.201130983508678,2.913485685563699,3.234919109805124,2.8654856855636988,3.190744269617851,2.453485685563699,3.191364345191401,9.4603856855637,8.421467667583208,9.0417856855637,6.921036230234297,8.725485685563697,6.1475848759869685,7.725985685563699,5.565024042631399
HD 109833,79.4863967895508,1.0693891335033812,0.0677865880853095,0.0679497958563755,0.0676233803142436,27870255.966730826,2599376.977121113,2496313.309241943,2702440.6450002827,-0.0792562345818549,0.0943512916091191,0.0930225045235157,0.0956800786947225,0.32937593717458,0.2788546738135484,1.08,0.027,-0.07,4.643337088041792,4.657467051975837,4.949517088346973,5.008052045079469,4.166126089506642,4.163021023441567,3.642535948210252,3.6066780258045217,3.388535948210252,3.2866913046012027,3.3185359482102523,3.23764069403912,3.2705359482102523,3.227241242052013,3.312535948210252,3.2367340095781456,3.285535948210252,3.21866040305624,3.317535948210252,3.218596173238784,,5.136903176158766,,4.66318352970621,,4.519984520392288,,4.471608309239149
NGTS-33,435.669006347656,1.6390252719307543,0.0952942627210826,0.0943178694476971,0.0962706559944681,30462338.938306283,15025558.934931925,9623742.80914963,20427375.06071422,-0.0893260667197496,0.0941866009586323,0.0935308141260382,0.0948423877912264,0.8059654382640864,7.161070047322437,1.6,0.03,-0.11,3.1984255822485963,3.100320405058945,3.414107611972696,3.378515124259538,2.836060813266595,2.7981674581410987,2.4112166741674947,2.412291062053045,2.279216674167495,2.266940580188579,2.212216674167495,2.2083161515099783,2.170216674167495,2.202844776973047,2.185216674167496,2.203603598560956,2.3122166741674945,2.202436423609587,0.8972166741674954,2.2069592159133915,,3.4333513400407223,,3.2185450964186235,,3.170468721416852,,3.1615311948072167
TOI-6448,376.490173339844,1.0777921606024348,0.0667378057038431,0.0643609108674276,0.0691147005402585,33486467.726842128,3070114.946255112,3051241.6940832734,3088988.1984269507,0.5,0.478497253027065,0.4295367165184499,0.5274577895356802,0.0,18.63391177916202,1.03,0.034,,4.892006614853096,4.855923006459832,5.236285904098694,5.2663668830355705,4.379083374191494,4.289318502425047,3.871231773544495,3.677925944290456,3.499231773544495,3.3047389304407746,3.4362317735444945,3.238822340024964,3.3402317735444944,3.222096553580892,3.3852317735444943,3.2822284652425733,3.320231773544495,3.217891236229113,1.1172317735444954,3.223076339529376,,5.459721602970342,,4.786568266257326,,4.635354849446907,,4.59587574389601
TOI-837,142.43571472168,1.1374163588674946,0.057905397151146,0.0565992968095021,0.0592114974927899,34996156.68212768,5602246.201460693,5047466.153978847,6157026.248942539,0.0105112826456189,0.0984322570373914,0.0978806003908051,0.0989839136839778,0.3264898238981443,0.1231997245165517,1.142,0.035,0.01,4.591684862185955,4.593122224773481,4.911863847781655,4.947257044154328,4.109489961673214,4.095619509141664,3.623905504275754,3.540049047609854,3.339905504275756,3.222491904467516,3.1649055042757546,3.17211124078805,3.1329055042757545,3.1622362186025863,3.1069055042757547,3.174742387668972,3.1069055042757547,3.1554947045054083,3.1679055042757547,3.156593483953664,,5.078689216003109,,4.595083929496781,,4.452316789439067,,4.405303481168458
KOI-7913 A,271.026794433594,0.7622481697274047,0.0741080052378026,0.0774392038628026,0.0707768066128026,26620667.26553702,8468443.463904439,8445799.275922421,8491087.651886456,-0.1000000001393296,0.0880245778111869,0.0743860406833447,0.1016631149390292,2.6419633243234424,17.65015902681286,0.76,0.036,-0.06,7.034774634729486,6.988743879262968,7.766887519250985,8.007301242794739,6.192784163843286,5.975800196898788,5.108938857446785,4.564913198522577,4.4699388574467855,3.890428768704517,4.0469388574467855,3.6788664449089374,3.622938857446786,3.648446805806061,3.6349388574467865,3.670388006690884,3.473938857446785,3.631059277749212,1.856938857446786,3.625527650029973,,8.586298616919342,,7.17774677474022,,6.462353183266512,,5.931859422720596
KOI-7368,263.285461425781,0.9195414977245748,0.0628929437660109,0.0568336962178249,0.0689521913141969,34969040.59927734,7405496.204231141,7046750.726109158,7764241.682353124,0.0555768056314518,0.0971643752483803,0.0995551519789195,0.0947735985178411,0.6399503913993562,3.7518319870475154,0.879,0.036,0.0578,5.729005173975967,5.681449329554723,6.211742715174667,6.228523205745535,5.082818345362668,5.008664216091454,4.193865609461767,4.185022896112292,3.781865609461768,3.7094107494375774,3.691865609461768,3.616597585117441,3.661865609461767,3.5954729145921616,3.696865609461767,3.636504672708895,3.592865609461768,3.5819841086066493,2.650865609461768,3.581127533874293,,6.49330558998418,,5.683010632126191,,5.389515052674375,,5.220481931585608
DS Tuc A,44.1510124206543,1.0313756419225366,0.0544756912001793,0.0539753348934445,0.054976047506914,45013265.614632696,4204396.201911055,4271826.181019038,4136966.222803071,-0.0020357672915222,0.0982317745295032,0.0988504281009302,0.0976131209580763,0.3421316769910247,0.1694329455490962,1.01,0.045,0.0,5.116734005915546,5.0875348764201895,5.470839001643077,5.4848010497360935,4.584396817194836,4.544492938671948,3.8972966661328257,3.924186048718441,3.534296666132826,3.5607761931662822,3.451296666132826,3.502461475099757,3.542296666132826,3.4894623037329446,3.425296666132826,3.5111816682975303,3.503296666132825,3.4802072088704814,3.364296666132826,3.4802544622176104,,5.646289703204121,,5.081201308264393,,4.9048300411261385,,4.83151406130177
